,start,stop,AUC,fpr,tpr,support,cm,fold,# support,condition,cm_,tnr,fnr
9,250,300,0.16000000000000003,0.4,0.8,"[ 0  3  5  6  7  8 10 12 14 16 21 26 27 31 32 35 38 40 41  1  4  9 11 17
 18 24 25 33 34 36 37 39 42]","[[3 2]
 [1 4]]",4,33,shuffle2,"[[0.6 0.4]
 [0.2 0.8]]",0.6,0.2
10,300,350,0.5555555555555556,0.6666666666666666,0.3333333333333333,"[ 0  2  6  7 13 14 15 17 19 20 21 25 30 33 36 38 39  4 10 16 18 22 24 27
 28 32 34 35 37 40]","[[2 4]
 [4 2]]",0,30,shuffle2,"[[0.33333333 0.66666667]
 [0.66666667 0.33333333]]",0.3333333333333333,0.6666666666666666
11,300,350,0.5555555555555556,0.5,0.6666666666666666,[ 0  5 11 12 13 14 15 20 22 26 27 30 33 39  4 16 18 19 23 24 25 32 37 40],"[[3 3]
 [2 4]]",1,24,shuffle2,"[[0.5        0.5       ]
 [0.33333333 0.66666667]]",0.5,0.3333333333333333
12,300,350,0.44,0.8,0.8,"[ 0  4  5 10 11 12 15 17 18 19 23 25 28 33 36 40 41  2  3  7 13 16 20 22
 26 27 32 34 35 37 39 42]","[[1 4]
 [1 4]]",2,32,shuffle2,"[[0.2 0.8]
 [0.2 0.8]]",0.2,0.2
13,300,350,0.56,0.6,0.6,"[ 0  2  6 11 13 15 16 17 19 22 24 25 29 33 34 37 38 41  4  8 18 20 21 23
 26 27 31 32 36 39 40 42 43]","[[2 3]
 [2 3]]",3,33,shuffle2,"[[0.4 0.6]
 [0.4 0.6]]",0.4,0.4
14,300,350,0.0,0.4,1.0,"[ 0  3  5  6  7  8 10 12 14 15 16 21 23 26 27 31 32 35 40 41  9 11 13 17
 18 20 24 25 30 33 34 36 37 39 42]","[[3 2]
 [0 5]]",4,35,shuffle2,"[[0.6 0.4]
 [0.  1. ]]",0.6,0.0
0,200,250,0.6111111111111112,0.6666666666666666,0.3333333333333333,"[ 0  1  5  6 11 12 14 15 17 22 24 26 27 29 30 31 34 38 40  2  3  4  8  9
 13 16 19 20 21 23 25 32 33 41]","[[2 4]
 [4 2]]",0,34,shuffle3,"[[0.33333333 0.66666667]
 [0.66666667 0.33333333]]",0.3333333333333333,0.6666666666666666
1,200,250,0.6944444444444444,0.8333333333333334,0.3333333333333333,"[ 0  1  9 12 13 17 18 21 23 24 26 28 29 30 32 34 38 40  2  3  4  6  7 11
 14 16 20 22 27 33 35 36 37 39 41]","[[1 5]
 [4 2]]",1,35,shuffle3,"[[0.16666667 0.83333333]
 [0.66666667 0.33333333]]",0.16666666666666666,0.6666666666666666
2,200,250,0.64,0.4,0.4,"[ 0  3  4  8  9 13 14 21 22 24 29 30 31 32 35 40 42  1  2  7 10 12 15 17
 18 19 23 25 33 34 36 38 39 41 43]","[[3 2]
 [3 2]]",2,35,shuffle3,"[[0.6 0.4]
 [0.6 0.4]]",0.6,0.6
3,200,250,0.6799999999999999,0.6,0.4,"[ 0  1  5  6 11 12 14 15 19 20 26 28 29 31 33 34 35 39 40  2  3  4  9 13
 16 17 18 24 25 27 30 37 38 41 43]","[[2 3]
 [3 2]]",3,35,shuffle3,"[[0.4 0.6]
 [0.6 0.4]]",0.4,0.6
4,200,250,0.8400000000000001,1.0,0.4,"[ 0  2  6 10 13 17 19 20 22 24 26 27 28 29 30 34 40 42  1  4  5  8  9 12
 15 16 21 23 31 32 35 37 38 39 41 43]","[[0 5]
 [3 2]]",4,36,shuffle3,"[[0.  1. ]
 [0.6 0.4]]",0.0,0.6
5,250,300,0.6111111111111112,0.6666666666666666,0.5,"[ 0  1  5  6 11 12 14 17 22 24 27 29 31 34 35 38  2  3  8  9 13 16 18 19
 23 25 32 33 36 39 41]","[[2 4]
 [3 3]]",0,31,shuffle3,"[[0.33333333 0.66666667]
 [0.5        0.5       ]]",0.3333333333333333,0.5
6,250,300,0.05555555555555554,0.16666666666666666,0.8333333333333334,"[ 0  1  9 10 12 13 17 23 24 26 28 29 30 31 32 38 40  2  3  6  7  8 11 19
 20 22 25 27 33 35 37 41]","[[5 1]
 [1 5]]",1,32,shuffle3,"[[0.83333333 0.16666667]
 [0.16666667 0.83333333]]",0.8333333333333334,0.16666666666666666
7,250,300,0.6000000000000001,0.4,0.4,"[ 0  3  4  8  9 13 14 21 22 24 28 29 31 35 37 40  1  5  7 10 12 15 17 18
 23 25 33 34 36 39 43]","[[3 2]
 [3 2]]",2,31,shuffle3,"[[0.6 0.4]
 [0.6 0.4]]",0.6,0.6
8,250,300,0.32,0.6,0.2,"[ 0  1  5  6 11 12 14 15 19 26 33 35 36 39 40  2  3  9 13 18 21 22 24 27
 30 37 41 42]","[[2 3]
 [4 1]]",3,28,shuffle3,"[[0.4 0.6]
 [0.8 0.2]]",0.4,0.8
9,250,300,0.36000000000000004,0.8,0.6,"[ 0  2  6 10 13 19 20 22 24 26 27 28 29 30 33 34 40  1  3  4  5  9 11 12
 23 35 39 43]","[[1 4]
 [2 3]]",4,28,shuffle3,"[[0.2 0.8]
 [0.4 0.6]]",0.2,0.4
